Timestamp,AFRDifference,BatteryVoltage,IgnitionTiming,CurrentDutyCycle,Load,IgnitionLoad,MAPSource,LambdaSensor1,ThrottlePosition,BaseFuel,BaseIgnition,RPM,TransientThrottleEnrichSensitivity,TransientThrottlePercentageAsync,RPM_delta,Load_delta,RPM_roll_avg,RPM_roll_std,DrivingStyle,Behaviour
04:35:50.296,44.0,13278.0,,23.0,399.0,399.0,399.0,956.0,1.0,341.0,,1037.0,2723.0,796.0,,,,,Neutral,Cruising
04:35:50.359,43.0,13262.0,,23.0,400.0,400.0,401.0,957.0,0.0,338.0,,1022.0,2740.0,799.0,-15.0,1.0,,,Neutral,Braking
04:35:50.640,42.0,13247.0,,23.0,399.0,399.0,399.0,958.0,1.0,341.0,,1036.0,2723.0,796.0,14.0,-1.0,,,Neutral,Accelerating
04:35:50.843,42.0,13247.0,,23.0,400.0,400.0,400.0,958.0,0.0,337.0,,1008.0,2744.0,799.0,-28.0,1.0,,,Neutral,Braking
04:35:50.906,44.0,13200.0,,24.0,400.0,400.0,400.0,956.0,1.0,343.0,,1048.0,2708.0,794.0,40.0,0.0,1030.2,15.466091943344964,Neutral,Accelerating
04:35:51.031,47.0,13247.0,,,404.0,404.0,404.0,953.0,0.0,337.0,,1012.0,2735.0,799.0,-36.0,4.0,1025.2,16.709278859364346,Neutral,Braking
04:35:51.093,49.0,13231.0,,,406.0,406.0,406.0,951.0,,341.0,,1030.0,2728.0,796.0,18.0,2.0,1026.8,16.709278859364346,Neutral,Accelerating
04:35:51.171,50.0,13184.0,255.0,23.0,407.0,407.0,405.0,950.0,,338.0,320.0,1012.0,2741.0,799.0,-18.0,1.0,1022.0,16.85229954635272,Neutral,Braking
04:35:51.265,50.0,13231.0,257.0,22.0,409.0,409.0,411.0,950.0,,336.0,322.0,990.0,2743.0,800.0,-22.0,2.0,1018.4,21.78990591994376,Neutral,Braking
04:35:51.359,48.0,13278.0,259.0,22.0,413.0,413.0,413.0,952.0,0.0,337.0,324.0,973.0,2750.0,,-17.0,4.0,1003.4,22.1314256205966,Neutral,Braking
04:35:51.421,54.0,13247.0,254.0,23.0,417.0,417.0,417.0,946.0,1.0,342.0,319.0,1004.0,2750.0,800.0,31.0,4.0,1001.8,21.63792966066762,Neutral,Accelerating
04:35:51.484,51.0,13137.0,255.0,23.0,415.0,415.0,415.0,949.0,0.0,342.0,320.0,1013.0,2741.0,799.0,9.0,-2.0,998.4,16.920401886480096,Neutral,Accelerating
04:35:51.546,44.0,13137.0,258.0,22.0,415.0,415.0,415.0,956.0,,339.0,323.0,978.0,2737.0,799.0,-35.0,0.0,991.6,16.920401886480096,Neutral,Braking
04:35:51.640,40.0,13200.0,256.0,23.0,418.0,418.0,418.0,960.0,,343.0,321.0,984.0,2743.0,800.0,6.0,3.0,990.4,17.27136358253161,Neutral,Accelerating
04:35:51.718,37.0,13231.0,254.0,24.0,416.0,416.0,416.0,963.0,,344.0,319.0,1023.0,2738.0,798.0,39.0,-2.0,1000.4,19.06043021550142,Neutral,Accelerating
