Timestamp,AFRDifference,BatteryVoltage,IgnitionTiming,CurrentDutyCycle,Load,IgnitionLoad,CoolantTemp,MAPSource,LambdaSensor1,ThrottlePosition,BaseFuel,BaseIgnition,RPM,TransientThrottleEnrichSensitivity,TransientThrottlePercentageAsync,RPM_delta,Load_delta,RPM_roll_avg,RPM_roll_std,DrivingStyle,Behaviour
07:39:15.125,51.0,13325.0,140.0,23.0,436.0,436.0,3157.0,436.0,949.0,,364.0,310.0,919.0,,,,,,,Neutral,Cruising
07:39:15.188,52.0,13325.0,136.0,,437.0,437.0,3158.0,438.0,948.0,0.0,365.0,306.0,936.0,,,17.0,1.0,,,Neutral,Accelerating
07:39:15.313,48.0,13325.0,136.0,,437.0,437.0,3157.0,437.0,952.0,0.0,365.0,306.0,932.0,,,-4.0,0.0,,,Neutral,Cruising
07:39:15.953,58.0,13341.0,132.0,24.0,440.0,440.0,3159.0,441.0,942.0,0.0,368.0,302.0,930.0,2750.0,,-2.0,3.0,,,Neutral,Cruising
07:39:16.000,54.0,13325.0,135.0,23.0,437.0,437.0,3158.0,437.0,946.0,1.0,365.0,305.0,937.0,2743.0,,7.0,-3.0,930.8,7.190271204899026,Neutral,Accelerating
07:39:16.094,,13231.0,136.0,24.0,441.0,441.0,3159.0,441.0,,0.0,370.0,306.0,930.0,2750.0,,-7.0,4.0,933.0,3.3166247903554384,Neutral,Braking
07:39:16.172,54.0,13247.0,144.0,23.0,443.0,443.0,3159.0,444.0,946.0,,370.0,314.0,886.0,,,-44.0,2.0,923.0,20.880613017821105,Neutral,Braking
07:39:16.235,62.0,13278.0,136.0,24.0,449.0,449.0,3158.0,448.0,938.0,,377.0,306.0,916.0,,,30.0,6.0,919.8,20.37645700312005,Neutral,Accelerating
07:39:16.703,46.0,13294.0,127.0,24.0,436.0,436.0,3159.0,436.0,954.0,,366.0,297.0,983.0,,,67.0,-13.0,930.4,35.31713465161069,Neutral,Accelerating
07:39:16.907,45.0,13309.0,134.0,23.0,429.0,429.0,3159.0,428.0,955.0,0.0,,304.0,958.0,2750.0,,-25.0,-7.0,934.6,37.48066168039193,Neutral,Braking
07:39:16.985,46.0,13294.0,126.0,24.0,427.0,427.0,3160.0,427.0,954.0,1.0,356.0,296.0,1006.0,2746.0,800.0,48.0,-2.0,949.8,48.8385093957627,Neutral,Accelerating
07:39:17.078,42.0,,126.0,24.0,425.0,425.0,,424.0,958.0,0.0,355.0,296.0,1011.0,2742.0,799.0,5.0,-2.0,974.8,39.02178878524154,Neutral,Accelerating
07:39:17.172,46.0,13294.0,134.0,23.0,421.0,421.0,,422.0,954.0,0.0,348.0,304.0,974.0,2743.0,800.0,-37.0,-4.0,986.4,22.14271889357771,Neutral,Braking
07:39:17.282,44.0,13309.0,128.0,23.0,419.0,419.0,,419.0,956.0,0.0,347.0,298.0,1001.0,2743.0,,27.0,-2.0,990.0,22.901964981197647,Neutral,Accelerating
07:39:17.641,61.0,12465.0,135.0,23.0,428.0,428.0,3161.0,429.0,939.0,1.0,355.0,305.0,954.0,,,-47.0,9.0,989.2,24.324884377937007,Neutral,Accelerating
07:39:17.703,60.0,12652.0,128.0,25.0,433.0,433.0,3160.0,433.0,940.0,2.0,362.0,298.0,983.0,2743.0,,29.0,5.0,984.6,22.456624857711905,Neutral,Accelerating
07:39:17.766,60.0,12856.0,126.0,,432.0,432.0,3160.0,433.0,940.0,3.0,361.0,296.0,1016.0,2728.0,,33.0,-1.0,985.6,23.985412233272207,Neutral,Accelerating
07:39:17.828,64.0,13028.0,126.0,,435.0,435.0,3161.0,436.0,936.0,4.0,364.0,296.0,989.0,2728.0,,-27.0,3.0,988.6,23.093289068471904,Neutral,Braking
07:39:17.875,66.0,13075.0,125.0,25.0,438.0,438.0,3160.0,438.0,934.0,,368.0,295.0,987.0,2720.0,,-2.0,3.0,985.8,22.038602496528767,Neutral,Cruising
07:39:17.938,58.0,13122.0,122.0,26.0,442.0,442.0,3161.0,442.0,942.0,4.0,373.0,292.0,997.0,2720.0,800.0,10.0,4.0,994.4,13.107249902248927,Neutral,Accelerating
07:39:18.000,58.0,13090.0,120.0,27.0,444.0,444.0,,443.0,942.0,5.0,380.0,290.0,1036.0,2687.0,796.0,39.0,2.0,1005.0,20.772578077841096,Neutral,Accelerating
07:39:18.141,53.0,13122.0,120.0,,445.0,445.0,,445.0,947.0,9.0,383.0,290.0,1047.0,2650.0,794.0,11.0,1.0,1011.2,28.18155425096359,Neutral,Accelerating
07:39:18.203,54.0,13137.0,118.0,28.0,450.0,450.0,,451.0,946.0,12.0,390.0,288.0,1059.0,2625.0,793.0,12.0,5.0,1025.2,31.578473680657893,Neutral,Accelerating
07:39:18.266,47.0,13122.0,114.0,30.0,462.0,462.0,,464.0,953.0,17.0,404.0,284.0,1077.0,2589.0,791.0,18.0,12.0,1043.2,29.96998498498126,Neutral,Accelerating
07:39:18.328,46.0,13090.0,107.0,33.0,481.0,481.0,,482.0,954.0,22.0,428.0,277.0,1093.0,2518.0,788.0,16.0,19.0,1062.4,22.886677347312794,Neutral,Accelerating
07:39:18.375,43.0,13106.0,101.0,36.0,501.0,501.0,3161.0,502.0,957.0,23.0,452.0,271.0,1119.0,2513.0,788.0,26.0,20.0,1079.0,28.39013913315678,Neutral,Accelerating
07:39:18.453,22.0,13059.0,95.0,42.0,517.0,517.0,3162.0,517.0,978.0,24.0,474.0,265.0,1210.0,2420.0,772.0,91.0,16.0,1111.6,59.26044211782429,Neutral,Accelerating
07:39:18.500,22.0,13106.0,94.0,44.0,520.0,520.0,,519.0,978.0,25.0,478.0,264.0,1245.0,2395.0,768.0,35.0,3.0,1148.8,74.42580197754006,Neutral,Accelerating
07:39:18.610,34.0,13090.0,97.0,47.0,521.0,521.0,,521.0,966.0,,485.0,267.0,1353.0,2344.0,758.0,108.0,1.0,1204.0,104.24010744430385,Neutral,Accelerating
07:39:18.672,30.0,13106.0,102.0,50.0,512.0,512.0,3162.0,512.0,970.0,,484.0,272.0,1412.0,2286.0,749.0,59.0,-9.0,1267.8,116.2484408497594,Neutral,Accelerating
07:39:18.735,14.0,,108.0,50.0,498.0,498.0,3161.0,498.0,986.0,25.0,477.0,278.0,1453.0,2238.0,740.0,41.0,-14.0,1334.6,104.76306601088008,Neutral,Accelerating
07:39:18.797,15.0,13106.0,113.0,49.0,486.0,486.0,3162.0,486.0,985.0,26.0,470.0,283.0,1485.0,2208.0,736.0,32.0,-12.0,1389.6,94.6984688366186,Neutral,Accelerating
07:39:18.922,-72.0,13106.0,120.0,49.0,471.0,471.0,,471.0,1072.0,26.0,462.0,290.0,1535.0,2179.0,729.0,50.0,-15.0,1447.6,69.43198110381142,Neutral,Accelerating
07:39:19.000,-74.0,13122.0,121.0,48.0,466.0,466.0,,466.0,1074.0,28.0,459.0,291.0,1540.0,2165.0,728.0,5.0,-5.0,1485.0,54.49311883164727,Neutral,Accelerating
07:39:19.078,-72.0,13106.0,121.0,47.0,463.0,463.0,,463.0,1072.0,27.0,456.0,291.0,1509.0,2191.0,733.0,-31.0,-3.0,1504.4,36.20497203423903,Neutral,Braking
07:39:19.141,-70.0,13106.0,119.0,45.0,464.0,464.0,,465.0,1070.0,27.0,452.0,289.0,1467.0,2208.0,738.0,-42.0,1.0,1507.2,31.46744349323645,Neutral,Braking
07:39:19.219,-61.0,13090.0,125.0,41.0,443.0,443.0,,439.0,1061.0,0.0,431.0,295.0,1427.0,2425.0,743.0,-40.0,-21.0,1495.6,48.02915781064693,Neutral,Braking
07:39:19.407,-44.0,13169.0,130.0,26.0,377.0,377.0,,377.0,1044.0,,353.0,300.0,1182.0,2589.0,772.0,-245.0,-66.0,1425.0,142.38855291068882,Neutral,Braking
07:39:20.328,74.0,13059.0,146.0,23.0,460.0,460.0,3164.0,458.0,926.0,,386.0,316.0,850.0,,,-332.0,83.0,1287.0,275.3534092761519,Neutral,Accelerating
07:39:20.688,91.0,13106.0,145.0,24.0,476.0,476.0,,476.0,909.0,,401.0,315.0,832.0,,,-18.0,16.0,1151.6,303.87217707450617,Neutral,Accelerating
